reviews,sentiment
absolutely love,1
echo wonderful im learning use music request somewhat limited,1
dont think 342nd gen34 sound good 1st aux add external speaker going wouldnt dot 2nd issue isnt unique unit dont understand cant override default prevents playing blue tooth speaker playing 34group34 delay bt speaker unit heard able play group bt speaker,1
work speaker grand getting speaker drop future gone size echo,1
pick voice yell time,1
love,1
enjoying,1
loving,1
good product,1
upgraded generation firestick dont know waited long love,1
easy install,1
easy setup running minute learning feature outstanding know amazon far ahead competition,1
un excelente equipo inteligente al estar conectado al internet no provee de mltiples funciones tale como el tiempohorainformacin de cualquier estudio que est realizando atrs vez del internet,1
happy speaker isnt great reason lot time play music start weird noise stop son google home better,0
bought week ago - product excellent dont forget buy charger ordering outside pool worry hiring electrician outlet yard,1
product sounded emoji speaker sister bluetooth doesnt need plugged good thing speak,0
like echo sure dot use lot music audio booksthe sound quality smaller echo near quality sized model havent decided ill,1
great easy set upa little difficult navigate instruction non existent,1
sound nice perfect price,1
excellent product service easy install daughter happy,1
love bedside clockalarmradio face dimat night bright sleeping,1
purchase echo plus built hub came free philip hue bulb got set realized echo plus hub wont allow functionality bulb turn light onoff dim change color hue bridge function feature bulb wish id bought bulb bridge separately use echo built hub echo essentially useless ill buy hue bridge benefit light,0
able use alexa echo great,1
second like use music arlo security camera connect display outdoor camera voice exceptionally capable device highly recommend,1
bought mother,1
like product fact apps unable smart tv,1
funny buy look fun wind totally useful home loving,1
work recipe reference nice device right size,1
great product easily set sync personal set,1
simply amazing awsome device cease amaze wake big bang music sleep softly falling rain drop kid touch scratched surface devise,1
bought control fios television work im hoping time control fios discovered thing alexa play music ask great sound alexa play game play radio station play old time radio program like long ranger alexa apps add ability day played madlibs great fun alexa control household appliance purchased alexa compatible power strip control lighting fan tv component im looking forward implementing controll add alexa component chosen music play room component located,1
took little work set finally got sound quality best got work great check weather ask cooking question kitchen play radio want music probably upgrade echo plus better sound,1
use laptop watching including netflix glad bought super easy set need quick easy access definitely worth buy,1
excellent,1
great best decision especially amazon prime,1
super easy hook program use music feature love set reminder phone echo remind set time great news update,1
work pretty,1
2 reset week time twice,1
thing great fantastic alarm clock,1
wasnt sure bringing 34smart technology34 home im hooked love sleek look echo spot nightstand easy set use love scroll news local weather suggestion ask alexa use alarm clock speaker syncd etekcity voltson wi-fi smart plug control lighting apartment,1
good sound capacity join different apps work smart home,1
great product,1
,1
honestly different echo dot occasionally seeing lyric song im listening dont difference,0
like far lot try,1
love dot,1
love new echo plus,1
ok instruction weak work going techy friend help update later,1
work great,1
entire family love alexa echo shes family,1
love handy easy use got classroom need,1
little trouble beginning replaced old router work good current temperature time alexa 10 degree like 91 degree alexa 81 degree work expected enjoy listening music amazon pandora station requesting favorite song recording artist,1
like small im able ring camera,1
phenomenal,1
loud quality ease use great sound perfect background music suggest 2-or connected youre trying use hosting louder party,1
3-dots 2-original new work perfectly buy future dot reconditioned,1
easy setup fun use connects smart home appliance,1
echo wanted smaller room work great,1
work ok youtube tv cant believe ban app people want use wanted like couldnt install particular app useless stuff fine ill stick roku,0
original echo like wanted basement realize isnt huge stereo setting doesnt sound bad definitely doesnt room great price echo plus prime day ordered,1
bought echo dot refurbished stop function performing doesnt wake time randomly turn buy refurbished echo dot,0
echo spot great got easy set problem advertise screen time weather town sadly way home screen home screen time spoke support wonderful lady tried researched 45 minute avail disappointed wanted screen time occasional screen rotate hoping great,1
year old love good basic household task going add smart outlet bulb,1
,0
excellent product mint condition refurbished unit - know refurbished,1
problem need buy app amazon mirroring iphone app price 299 device perfect,1
expected,1
alexa take getting picture quality great touch screen responsive smooth speaker better expected wellfour star,1
usual reliable alexa,1
pleased echo loud hear voice understand better previous version,1
nice gadget love look,1
like google better,1
love product bought household mother law video chat emergency easy use older folk,1
extremely useful simple thing like spotify audible thing like doesnt answer ask nice use,1
loved look good,1
great item knowledge direction musiclaughter,1
echo great good sound quality functionality smart home hub suck automation geo-fencing music syncing hue z-wave turn thing voice ended buying smartthing hub transferring,0
need,1
awesome piece technology simplified life great purchase,1
like alot connected play pandora asked weather time morning got rid old fashioned digitol clock music play unlimited im going ask vacation thing comfortable definitely worth money,1
love thing running entire home tv light thermostat door dead bolt camera love listening npr thing worth value shine stat adding smart device control entire home like right star trek named computer feel amazing device smart system,1
nowi love,1
dislike volume sound loud,1
held purchasing echo couldnt resist prime day echo work great nice screen lot need learn,1
sure love alexa lol thank great price product,1
nice product intelligent thought hoped,1
far good got trying figure thing product easy set,1
intrusive turn,0
prime day pricing good limited video service available amazon video netflix youtube alexa limited nearly useful google,1
love find correct smart linksplug connect,1
home entertainment,1
love love love,1
,0
work wonderfully,1
love thinking getting prime day discount offered pas fun ask alexa play song group come playlist amazon prime music connect iphone bluetooth play music pandora youtube video alexa speaker ive having fun asking alexa different type question information like weather news time country downside limited data wifi plan alexa us burn playing music,1
got mainly son currently vision impaired good thing setup fairly easy easier setup come loaded stuff text message friend easier having download work link email common social medium like facebook twitter purpose connected web voice wouldnt feel left isolated tech support phone number way direct help echo tech support help setup device friend who guy come help setup,1
love havent figured best thing,1
thanks,1
device interact home filled apple device disappointing,0
second echo device disappointed documentationinstructions function device purchased becausse sound quality found bluetooth capability night accident need manual detail functionality device point found,1
sound quality,1
didnt think id alexa device perfect home office screen add little piece make worth extra cost alexa device lyric song play xm radio video movie trailer news great,1
use control smart home,1
work good,1
sad joke worthless,0
purchased beginning learn far pleased amazed different action perform enjoying looking forward learning option provides,1
bought bedroom living room love spot perfect bedside impressive design show lyric photo etc paired smart plug bedroom lamp 34alexa turn lights34 love,1
love alexa,1
absolutely love echo awesome work great ring video spotlight cam music demand feature explore,1
superb plugged unit set hdmi boom watching better tv thank,1
far certified refurbished echo dot work little confusing green ring echo dot 100 know asked alexa said receiving drop case took 10 minute figure notification delivery amazon believe ring supposed yellow pulsate message notification refurbished echo dot green pulsed,1
easy use great recipe listen music movie movie trailer,1
like able tell alexia music want hear trouble finding song specific title,1
alexa dumber useful time,1
love watch wife argue alexa woke night listening alexa talking cell phone,1
having conversation person instantaneous response fact catch command youre far simply amazing,1
far good,1
love,1
work good price went week purchased,1
impressed simple use,1
gave gift - loved,1
good,1
far good,1
love aspect echo plus wanted office light desk lamp,1
excellent purchase,1
love,1
love dot hoping add couple apartment reason didnt 5 star wish speaker little better know amazon probably wanted cost item like play music apartment busy thing added speaker little wattage bass response great bathroom kitchen lot space sized echo willing pay 10 20 dollar better speaker oh love im going find bluetooth speaker sound good doesnt lot space,1
big guy,1
like lot sound better original echo bass feel deeper screen cool havent got lot use,1
great deal great product,1
work great,1
long time amazon prime family year new alexa world thought purchase alexa plus hub included phillips hue light bulb great start alexa lot good thing like alarm morning verbalize book playing music command linked sirriusxm account good daily stuff good sound bose ad 34hub included34 dont need operate device understand difference product device support fact came hue light bulb work dimming bulb bulb capable hue app hue app recognize alexa hub bridge appears philip bridge set bulb scene time light away set color tone etc internet phone tablet away home list go capability bridge disappointed find fact point feel misled amazon included hue bulb explanation maybe throw good discount way hue bridge echo plus invest light bulb,1
easy set,1
work great simple set alexa way accurate imagined im thought wish alarm set bit thats complaintno shes listening dont wake word youre worried lose conspiracy theory speaker great dont hold getting turned gen 1 like,1
purchased prime day present found having echo plus kitchen counter overwhelming cooking cutting cleaning etc especially counter arent wide begin going forth decided felt feature compact honestly regret probably wouldnt watch movie id dying great way listen music watch quick youtube video etc attempted watching jaw wasnt comfortable thing eye wasnt bad think definitely recommend,1
love work perfectly,1
loved easy install sry use simply amazing amazing bought twothis allowed officially cut cable cordlove,1
jumped bandwagon purchasing echo feel like struggle getting connected day later device sharing news weather use tapped option testing,1
love device,1
love alexa great helping making appointment playing song like looking forward,1
work great issue,1
like hand free operation v tap use controlling smart plug,1
granddaughter love,1
bought control fios television work im hoping time control fios discovered thing alexa play music ask great sound alexa play game play radio station play old time radio program like long ranger alexa apps add ability day played madlibs great fun alexa control household appliance purchased alexa compatible power strip control lighting fan tv component im looking forward implementing controll add alexa component chosen music play room component located,1
love - strictly music great,1
learning way use real hit grandkids ask play music dance 5 7 yr cute,1
im enjoying product love flash briefing timer weather report,1
love bought daughter,1
far good,1
love,1
like compact structure dot sound little low,1
alexa couple day having lot fun new toy like having new household member trying learn different featues benefit come,1
great product 5 star - cant scroll face card having stupid 34try ask alexa34 suggestion pop yes scroll stay clock like having card god worst irritating got super cheap face screen wall treat like dot instead spot dumb amazon,0
great product,1
debating 4 5 star review challenge hub phillips added functionality work hub basic functionality work unit need apps set want instead caused user issue woken couple time trigger word find highly unsettling minor issue picking correctly usually repeat happensthe speaker great quality easily cover kitchenliving room sleek design obtrusive girlfriend fun interacting weve entertaining conversation,1
easy set,1
work like new tell difference new bough refurbished,1
great music little hard figure work,1
refurbish echo dot received new condition new packaging complaint neat little gadgetdrives wife nut,1
alexa amazing great speaker,1
owned echo overa year new lack easy way increase decrease volume telling increase decrease volume hard wife english second language born korea sound echo superb,1
2nd use time,1
doesnt work fairly new smart tv thats mainly tv manufacturerslg fault supporting older tv year smart lock need additional piece equipment order connect speaker sound great work,1
dont alexa getting im feeling inspired feel good gateway alexa trial liking far channel work fine like apple tv need check phone app keyboard typing spelling thing keyboard suck searching youtube clip,1
love alarm featurejust tell time,1
perfect,1
different apple play specific list music amazon spotify plusprimeetc account pay play music 3 star reason,1
nicely constructed wife wanted second kitchen order second,1
easy hook wish knew capability,1
intelligent love song,1
live item bought room house gift mom use travel,1
impressed,1
e excelente funciona genial,1
play music request,1
loved item quick response time sensitive speaking end house,1
fine spot exact massive failing order turn repeating alarm morning pretty talk - thing usually want woken bed partner definitely like yes manually swipe alarm face dismiss swiping touching screen half asleep difficult result setting snooze half time try swipe dismiss ii manage swipe dismiss completely delete recurring alarmthis especially annoying amazon easily fix simply making touching screen turn alarm delete setting decide touching screen recurring alarm snooze turn clock year havent adding setting clearly going happen biggest product design screw amazon,0
great got gazebo upstairs,1
regret waiting long purchase item surprised pleased sound quality,1
doesnt work bet let know charge 3rd time ridiculous,0
product force user review alexa thing try way disable,0
coop product us including smart device home,1
great product,1
love itjust like 4,1
great little thing work better siri,1
great gadget installs work easily nice box taking space,1
,1
perfect work like charm,1
fun toy daughter read,1
,0
like echo plus built hub work seamlessly compatible device amazon make great product havent single issue device echo dot etc,1
exactly like new tell difference new dot got prior work perfectly love alexa,1
thing way cool want cool,1
love device make life easier figure,1
love alexa rock,1
use office apartment music information,1
echo bought echo qvc,1
love 2 dot echo medium size room loud external speaker use external dot,1
,1
love plan gender music big band jazz easy find local radio sound good stop voice command phone,1
absolutely love kitchen use cooking speaker amazing,1
initially harder set called tech wasnt knowledgeable working great,1
use time especially communicate kid home,1
listening music searching location checking time looking weather task learn simple set,1
,1
like watch older show 70 80 firestick give opportunity find show,1
love,1
easy set-up use,1
havent long far family enjoying asking alexa question,1
loving,1
great addition alexa base guest bedroom music clock infodot speaker strong base great value,1
love echo learning thing wasnt able follow instruction included package found great u-tube,1
absolutely love,1
expected,1
need harvard law degree operate thing going soon,0
learning,1
,1
setting,1
thing dont like shuts work great,1
love super convenient make life little easier,1
easy set,1
supposed come free hue lightbulb amazon prime day light bulb arrived false advertising,0
far major issue,1
alexia built thermostat didnt work standing right hear music played choppy decided try echo dot prime day disappointed hears fine music play problem like bluetooth connect bose speaker quality sound,1
speaker sound pretty good small setup pretty easy bought reason rate 3 followed instruction synching music unit know ive correctly wont sync primary motivation purchasing multiple unit,1
basically use play music tell newsits hard communicate dont command correctly realize learning style speaking command dont exactly,1
dont waste money echo gen 1 echo gen 2 dot far better job voice recognition echo fact bad virtually useless speaker incredibly bass heavyso hard understand voice ive worked adjust bass punch mids treble sound awful finally screen doesnt add cant room rarely activates meaningful way doesnt distraction helpusing facetime practicalthan im surprised amazon didnt little useful future waste time money,0
